,year,station,PM2.5,PM10,NO2,SO2,CO,TEMP,O3
46,2016,Wanliu,71.41282565130261,92.81921647126109,58.33363907360697,10.646947765890497,1232.3147353361946,13.41012378168434,53.42089466089466
47,2016,Wanshouxigong,78.27745797835597,98.73002010916403,50.28462289620311,10.623220027560864,1225.8442453480359,13.868645505959725,57.75574184657786
48,2017,Aotizhongxin,94.56995738636364,107.15725949591764,66.2456452186278,20.83398506932101,1671.8012866333095,0.6698348694316436,47.414026343894626
49,2017,Changping,79.92973740241305,94.24725079815538,50.98722044728434,16.426136363636363,1535.017793594306,0.40806322741938206,33.04866785079929
50,2017,Dingling,68.3134962805526,78.57385759829968,34.35049715909091,13.267470734302945,1155.9857904085256,0.40806322741938206,53.83392476933996
51,2017,Dongsi,102.98715203426124,131.8585643212509,57.975124378109456,20.413646055437102,1607.0050035739814,0.6698348694316436,39.62384341637011
52,2017,Guanyuan,94.76862180640518,116.72132904608789,65.02786709539122,21.326902465166132,1490.8503767491927,0.6698348694316436,45.8569896317483
53,2017,Gucheng,101.35965848452508,126.47669868374244,62.41479099678457,20.646367521367523,1800.5362888809439,0.3779924944635104,28.84982206405694
54,2017,Huairou,74.02911931818181,91.80766501064585,38.86789772727273,9.764559659090908,1316.2451015318845,-1.177416907209534,46.61953818827709
55,2017,Nongzhanguan,101.36088350552191,119.66785332858669,58.31149875400499,20.64733096085409,1719.4136574901681,0.6698348694316436,36.517977928088285
56,2017,Shunyi,95.42030528931487,106.99574014909479,55.584811923349896,21.20901348474095,1775.6062767475037,-0.010035014005602238,42.03833865814696
57,2017,Tiantan,98.1788126555279,125.67769477054429,64.0124599501602,14.045195729537367,1750.7879656160458,0.6698348694316436,35.69793152639087
58,2017,Wanliu,94.00923951670221,110.76838365896981,69.08061079545455,20.31747159090909,1778.2422293676314,0.41467712395131756,35.7135749822317
59,2017,Wanshouxigong,106.79279600570614,122.2660485021398,64.4234202070689,18.637857142857143,1725.6934306569342,0.6698348694316436,34.027896995708154
